id;sentence;phrase;target
89;В лесу мы собирали ягоды и грибы.;пустыня;
90;Полицейский остановил нарушителя.;страж порядка;полицейский
91;В комнате стоял старый шкаф.;мебель;шкаф
92;Он выпил стакан холодной воды.;жидкость;воды
93;Эта мелодия вызывает ностальгию.;композиция;мелодия
94;Ночью на небе видны звёзды и луна.;спутник Земли;луна
95;Мне приснился удивительный сон.;сновидение;сон
96;Он совершил героический поступок.;действие;поступок
97;Мой кот любит спать на мягком диване.;собака;
98;Она надела синее платье на вечеринку.;костюм;
99;Я пью апельсиновый сок каждое утро.;молоко;
100;Я купил новый ноутбук для работы.;портативный компьютер;ноутбук
101;На улице сегодня очень холодно, надень шапку.;головной убор;шапку
102;Мой кот любит спать на мягком диване.;домашний питомец;кот
103;Мы поедем в Москву на следующей неделе.;столица России;Москву
104;Он рассказал очень смешную историю.;веселый рассказ;историю
105;Эта книга очень интересная, советую прочитать.;литературное произведение;книга
106;Я хочу выпить чашку горячего кофе.;бодрящий напиток;кофе
107;Дети играли в футбол на спортивной площадке.;командная игра;футбол
108;Солнце ярко светило, и птицы пели.;небесное светило;Солнце
109;Мой брат работает программистом в крупной компании.;разработчик ПО;программистом
110;Вчера мы ходили в кинотеатр смотреть новый фильм.;кино;фильм
111;Я учусь в универе на экономиста.;университет;универе
112;Он купил себе новый смарт.;смартфон;смарт
113;Пожалуйста, передай мне пульт от телевизора.;дистанционное управление;пульт
114;Мы ехали на электричке в пригород.;электропоезд;электричке
115;На столе стояла ваза с цветами.;космический корабль;
116;Я люблю читать книги перед сном.;рецепт борща;
117;Погода сегодня замечательная, солнечно и тепло.;квантовая физика;
118;Он хорошо играет на гитаре.;политическая ситуация;
119;Завтра я иду на день рождения к другу.;сельское хозяйство;
120;Этот художник нарисовал прекрасный пейзаж.;мастер кисти;художник
121;Нужно срочно починить этот комп.;персональный компьютер;комп
122;Я отправил тебе сообщение в телеге.;Телеграм;телеге
123;Мы обсуждали последние новости политики.;актуальные события;новости
124;Эта мелодия очень знакомая и приятная.;музыкальная композиция;мелодия
125;В холодильнике есть свежие овощи и фрукты.;рефрижератор;холодильнике
126;Он известный спортсмен, чемпион мира по боксу.;атлет;спортсмен
127;Завтра ожидается сильный ливень с грозой.;обильный дождь;ливень
128;Она работает врачом в городской больнице.;медицинский работник;врачом
129;Ребенок быстро уснул после сказки.;маленький человек;Ребенок
130;Эта машина стоит очень дорого.;автомобиль;машина
131;Мы живем в большом городе с развитой инфраструктурой.;мегаполис;городе
132;Я забыл свой мобильник дома.;сотовый телефон;мобильник
133;Нам нужно купить билеты на самолет заранее.;воздушное судно;самолет
134;Он отличный повар, его блюда восхитительны.;кулинар;повар
135;В лесу мы собирали грибы и ягоды.;лесные дары;грибы
136;Посмотри, какая красивая бабочка села на цветок!;летающее насекомое;бабочка
137;Я всегда пью чай с лимоном по утрам.;цитрусовый фрукт;лимоном
138;Эта задача кажется очень сложной.;трудное задание;задача
139;В театре сегодня премьера нового спектакля.;постановка;спектакля
140;На крыше сидела черная кошка.;солнечная система;
141;Он пишет стихи о любви и природе.;ремонт автомобиля;
142;За окном шумел сильный ветер.;кулинарные рецепты;
143;Она прекрасно поет и играет на пианино.;мировая экономика;
144;Мы планируем отпуск на море этим летом.;программирование на Python;
145;В магазине продаются свежие булки и хлеб.;хлебобулочные изделия;булки
146;Мой дедушка рассказал интересную байку из своей молодости.;небольшая история;байку
147;Этот актер сыграл главную роль в известном фильме.;артист кино;актер
148;Нужно регулярно делать зарядку для поддержания здоровья.;физические упражнения;зарядку
149;На фотографии был запечатлен красивый закат над морем.;снимок;фотографии
150;Он получил письмо от своего старого друга.;послание;письмо
151;Этот велик я купил в прошлом году.;велосипед;велик
152;В парке много зелени и цветов.;растения;зелени
153;Его доклад был очень информативным и полезным.;выступление с сообщением;доклад
154;Скоростной экспресс прибывает на первую платформу.;быстрый поезд;экспресс
155;Она носит элегантные туфли на высоком каблуке.;обувь;туфли
156;Этот ученый сделал важное открытие в области физики.;исследователь;ученый
157;Нам нужно заправить тачку, бензин почти на нуле.;легковой автомобиль;тачку
158;В библиотеке царит тишина и рабочая атмосфера.;книгохранилище;библиотеке
159;Малыш увлеченно строил замок из песка на пляже.;ребенок;Малыш
160;Я люблю гулять по осеннему лесу.;запуск ракеты;
161;Эта картина висит здесь уже много лет.;рецепт пиццы;
162;Он быстро бежит по утрам.;древняя история;
163;Сегодня я приготовил вкусный ужин.;компьютерные игры;
164;На столе лежали ключи от квартиры.;музыкальные инструменты;
165;Вся семья собралась за праздничным столом.;родственники;семья
166;Он живет в маленькой деревушке у реки.;населенный пункт;деревушке
167;Надо бы перекусить чего-нибудь, я голоден.;прием пищи;перекусить
168;Ее глаза сияли от счастья.;органы зрения;глаза
169;Этот фильм получил несколько престижных наград.;кинолента;фильм
170;Мой пес всегда встречает меня у двери.;собака;пес
171;Врач прописал мне лекарство от кашля.;медикаменты;лекарство
172;Нам предстоит долгая дорога домой.;путь;дорога
173;Он починил сломанный стул.;предмет мебели;стул
174;Я отправил бабки через банк.;деньги;бабки
175;На небе не было ни единого облачка.;облако;облачка
176;Строители возводят новый жилой комплекс.;рабочие на стройке;Строители
177;Этот цветок очень приятно пахнет.;растение;цветок
178;Я люблю пить кефирчик перед сном.;кисломолочный продукт;кефирчик
179;Он работает шоферюгой на большом грузовике.;водитель;шоферюгой
180;Книга лежит на верхней полке.;атомная энергия;
181;Мы едем на дачу каждые выходные.;искусственный интеллект;
182;Ребенок играет с новой игрушкой.;биржевые котировки;
183;Солнце садится за горизонт.;древнегреческая философия;
184;Я выпил стакан воды.;покорение космоса;
185;Этот препод очень требовательный, но справедливый.;преподаватель;препод
186;Мы купили арбуз на рынке, он очень сладкий.;бахчевая культура;арбуз
187;Он хороший спец в своей области.;специалист;спец
188;По телеку показывали интересный фильм о природе.;телевизор;телеку
189;Она купила красивое платьице для праздника.;платье;платьице
190;Этот чел постоянно опаздывает.;человек;чел
191;Мой батя работает на заводе.;отец;батя
192;Я скачал новую игруху на комп.;компьютерная игра;игруху
193;Мы решили поехать на море дикарями.;самостоятельно путешествовать;дикарями
194;Он получил выговор от начальника за опоздание.;руководитель;начальника
195;Дети весело смеялись во дворе.;финансовый отчет;
196;На ужин была вкусная картошка с мясом.;космические исследования;
197;Я читаю эту книгу уже неделю.;ремонт дороги;
198;Завтра будет контрольная по математике.;охрана окружающей среды;
199;Он подарил ей букет красных роз.;строительство дома;
200;Мой кот очень любит спать на солнышке;домашнее животное;кот
201;Я купил новый ноутбук для работы;компьютер;ноутбук
202;На улице сегодня прекрасная погода, светит солнце;небесное светило;солнце
203;Мы поехали на море отдыхать этим летом;водоем;море
204;Вчера я читал интересную книгу о приключениях;печатное издание;книгу
205;Мама приготовила вкусный ужин: пюре и котлеты;родительница;Мама
206;Мой брат учится в университете на инженера;родственник;брат
207;Сегодня я видел красивый автомобиль красного цвета;машина;автомобиль
208;В лесу мы собирали грибы и ягоды;гриб;грибы
209;Вчера вечером шел сильный дождь с грозой;осадки;дождь
210;Этот фильм получил множество наград на фестивале;кинолента;фильм
211;Новый смартфон имеет отличную камеру;мобильный телефон;смартфон
212;Я люблю пить кофе по утрам;бодрящий напиток;кофе
213;Моя сестра работает врачом в больнице;доктор;врачом
214;Дети играли на площадке во дворе;ребятишки;Дети
215;Он написал письмо своему другу;послание;письмо
216;На столе стояла ваза с цветами;растения;цветами
217;Я собираюсь поехать в отпуск на следующей неделе;каникулы;отпуск
218;В нашем городе построили новый стадион;спортивное сооружение;стадион
219;Он очень талантливый музыкант, играет на гитаре;музыкальный инструмент;гитаре
220;Я читаю книгу о программировании;готовить еду;
221;Мы гуляли в парке вчера вечером;лететь на самолете;
222;Он купил билеты на концерт любимой группы;плавать в бассейне;
223;На завтрак я съел овсяную кашу;ремонтировать машину;
224;Она прекрасно поет и танцует;решать математику;
225;Старый дуб рос посреди поля;древесина;дуб
226;Я еду в Москву на поезде завтра;столица России;Москву
227;У меня есть собака породы лабрадор;пёс;собака
228;Он работает программистом в крупной компании;айтишник;программистом
229;Пожалуйста, передай мне соль;приправа;соль
230;Мой дедушка рассказал интересную историю из своей молодости;дед;дедушка
231;В магазине продаются свежие овощи и фрукты;плод;фрукты
232;Она надела красивое платье на вечеринку;наряд;платье
233;Самолет приземлился в аэропорту вовремя;воздушное судно;Самолет
234;Эта река очень широкая и глубокая;водный поток;река
235;Он получил высшее образование в престижном вузе;учебное заведение;вузе
236;Я люблю гулять по лесу осенью, когда листья желтеют;осенний лес;лесу
237;Мы смотрели захватывающий боевик в кинотеатре;экшн фильм;боевик
238;Он починил сломанный стул своими руками;предмет мебели;стул
239;На вершине горы лежал снег даже летом;возвышенность;горы
240;Бабушка испекла вкусный пирог с яблоками;выпечка;пирог
241;Я отправил посылку почтой вчера;почтовое отправление;посылку
242;В нашем саду растут розы и тюльпаны;цветок;розы
243;Он известный писатель, автор многих бестселлеров;литератор;писатель
244;Мы живем в большом доме с садом;жилище;доме
245;Ребенок радостно смеялся, играя с щенком;малыш;Ребенок
246;На озере плавали утки и лебеди;водоплавающая птица;утки
247;Я купил новую рубашку синего цвета;одежда;рубашку
248;Этот город славится своей древней архитектурой;населенный пункт;город
249;Он хороший спортсмен, занимается бегом;атлет;спортсмен
250;Мы часто ходим в театр на спектакли;представление;спектакли
251;На кухне пахло свежесваренным кофе;напиток из зерен;кофе
252;Его мечта – путешествовать по всему миру;странствия;путешествовать
253;Эта картина была написана известным художником;произведение искусства;картина
254;Он работает водителем автобуса уже много лет;шофер;водителем
255;Для ремонта квартиры нужны стройматериалы;строительные материалы;стройматериалы
256;Собака весело виляла хвостом, встречая хозяина;домашний питомец;Собака
257;Мой комп начал сильно тормозить в последнее время;персональный компьютер;комп
258;Вчера я общался с преподом по поводу курсовой;преподаватель;преподом
259;Нужно заскочить в магаз за хлебом;магазин;магаз
260;Он любит слушать музыку разных жанров;заниматься спортом;
261;Я учу английский язык для будущей работы;готовить пиццу;
262;Она вяжет теплый шарф для своего сына;плавать в море;
263;Мы планируем поездку в горы на выходные;читать газету;
264;Этот ресторан предлагает блюда итальянской кухни;смотреть телевизор;
265;В холодильнике есть молоко, сыр и колбаса;молочный продукт;молоко
266;Строители возводят новый жилой комплекс;здание;комплекс
267;Сегодня я сдаю экзамен по математике;проверка знаний;экзамен
268;Мой друг работает врачом скорой помощи;медработник;врачом
269;На столе лежали яблоки, груши и бананы;фрукт;яблоки
270;Я пользуюсь общественным транспортом, чтобы добраться до работы;автобус или метро;транспортом
271;Он подарил ей букет красных роз;цветы;роз
272;В этом лесу водятся волки и лисы;хищное животное;волки
273;Наша команда выиграла футбольный матч;спортивное соревнование;матч
274;Я посмотрел интересный докфильм о природе;документальный фильм;докфильм
275;Его хобби – фотографировать пейзажи;фотосъемка;фотографировать
276;Она купила билеты на самолет в Сочи;авиабилеты;билеты
277;Этот чайник электрический, очень удобный;бытовой прибор;чайник
278;Велосипед – мой любимый вид транспорта летом;двухколесное транспортное средство;Велосипед
279;Мне нужен новый сотик, старый сломался;мобильник;сотик
280;Давай встретимся у метро через полчаса;подземка;метро
281;Я учусь в универе на экономиста;университет;универе
282;Мой батя всегда дает хорошие советы;отец;батя
283;По телеку показывали старый советский фильм;телевизор;телеку
284;Я скачал новую прогу для обработки фото;программа;прогу
285;Эта тачка стоит очень дорого;автомобиль;тачка
286;Мы пошли в кафешку выпить кофе;кафе;кафешку
287;Он служит в армии уже год;вооруженные силы;армии
288;Наша кошка любит играть с мячиком;игрушка;мячиком
289;Я читаю новости в интернете каждое утро;всемирная паутина;интернете
290;Он пишет стихи о любви и природе;спортивный инвентарь;
291;Я люблю плавать в бассейне по выходным;кулинарный рецепт;
292;Она рисует акварелью красивые пейзажи;компьютерная игра;
293;Мы собираем пазлы всей семьей;музыкальный инструмент;
294;Завтра я иду на день рождения к подруге;научная статья;
295;Наша дача находится недалеко от города, у реки;загородный дом;дача
296;Вечером мы смотрели комедийный сериал по телевизору;многосерийный фильм;сериал
297;Он отличный спец по компьютерам;специалист;спец
298;Для супа нужны картошка, морковь и лук;овощ;картошка
299;Он работает в крупной айти компании;информационные технологии;айти
300;доченька твоя совсем большая стала;дочь;доченька
301;вся дорога забита деревьями и цветами;дерево;деревьями
302;в следующее воскресенье я собираюсь в питер;санкт петербург;питер
303;у меня сломалась стиралка прикинь;стиральная машина;стиралка
304;ты возьми корзину прежде чем набрать продукты;звонить;
305;мой старый комп начал сильно тормозить;персональный компьютер;комп
306;мы едем на море в следующем месяце чтобы отдохнуть;пляжный отдых;море
307;он купил новый телек для своей гостиной;телевизионный приемник;телек
308;сегодня отличная погодка для долгой прогулки в парке;погодные условия;погодка
309;у бабушки в деревне есть курочки и большой петух;домашняя птица;курочки,петух
310;я читаю очень интересную книженцию о пиратах;книга;книженцию
311;мы собираемся поехать в Казань на весенние каникулы;столица Татарстана;Казань
312;он починил свой велик и поехал кататься с друзьями;велосипед;велик
313;детишки радостно бегали по зеленой площадке во дворе;маленькие дети;детишки
314;мне нужно купить свежий хлебушек и парное молоко;хлебобулочное изделие;хлебушек
315;в холодильнике есть вкусная докторская колбаска;мясное изделие;колбаска
316;он работает прогером в известной айти компании;разработчик программного обеспечения;прогером
317;завтра у меня будет важный экзамен по истории;итоговое испытание;экзамен
318;на улице сильный мороз и пронизывающий ветер;холодная погода;мороз, ветер
319;мой верный собакен весело вилял своим хвостом;домашний пес;собакен
320;посмотри этот видос он очень смешной и короткий;видеоролик;видос
321;я хочу купить красные наливные яблочки на рынке;фрукты;яблочки
322;на столе стояла красивая ваза с живыми цветочками;растения для букета;цветочками
323;моя старая тачка опять сломалась посреди дороги;автомобиль;тачка
324;он получил заказное письмо от своего старого друга;почтовое отправление;письмо
325;сегодня я ел очень вкусный грибной супец на обед;первое блюдо;супец
326;пойдем вечером в киношку на новый нашумевший фильм;кинотеатр;киношку
327;надо быстренько заскочить в магаз за свежими продуктами;торговая точка;магаз
328;он живет в современной высотке на окраине нашего города;многоэтажный дом;высотке
329;я сильно устал после интенсивной трени в спортивном зале;физическая нагрузка;трени
330;в городском парке много сочной зелени и высоких деревьев;растительность;зелени, деревьев
331;он рассказал очень смешную историю из своей бурной жизни;повествование;историю
332;у меня почти села батарейка в моем стареньком телефоне;элемент питания;батарейка
333;на чистом небе сияет такое яркое летнее солнышко;звезда;солнышко
334;пушистый котейка сладко мурлыкал и спал на диване;домашний кот;котейка
335;я люблю пить ароматный кофеек по утрам для бодрости;горячий напиток;кофеек
336;он подарил ей на праздник красивый букетик алых роз;цветочная композиция;букетик
337;мы долго гуляли по центральной набережной вечером;берег водоема;набережной
338;этот детективный сериал стал невероятно популярным среди молодежи;многосерийный фильм;сериал
339;в осеннем лесу мы собирали съедобные грибочки и лесные ягоды;дары леса;грибочки, ягоды
340;на завтрак я предпочитаю готовить яичницу или пышный омлет;блюдо из яиц;яичницу, омлет
341;она надела свое новое шелковое платьице на торжественный праздник;женская одежда;платьице
342;зимой мы часто катаемся на фигурных коньках и беговых лыжах;зимние виды спорта;коньках, лыжах
343;он слушает любимую музыку через большие беспроводные наушники;аудио гарнитура;наушники
344;я никак не могу найти свои старые очки для чтения;оптический прибор;очки
345;этот исторический фильм основан на вполне реальных событиях прошлого;кинематографическое произведение;фильм
346;в нашем саду обильно растут молодые яблони и сочные груши;фруктовые деревья;яблони, груши
347;он быстро бежал по лесной дорожке в большом парке;пешеходная тропа;дорожке
348;я люблю активно плавать в открытом бассейне жарким летом;искусственный водоем для плавания;бассейне
349;она превосходно готовит разнообразные блюда итальянской и французской кухни;кулинарные изделия;блюда
350;яркое солнце светило весь долгий летний день;синяя ручка;
351;черная кошка сидела на подоконнике и внимательно смотрела в окно;большая рыжая собака;
352;маленькие дети увлеченно играли в песочнице с яркими лопатками;читать научную книгу;
353;он купил много свежих сочных фруктов на местном рынке;капитальный ремонт автомобиля;
354;завтра я обязательно иду на важную встречу с давними друзьями;поливать комнатные цветы;
355;мой младший братишка приехал ко мне в гости на все выходные;родной брат;братишка
356;мы с удовольствием смотрели интересный документальный фильмец о природе;кинолента;фильмец
357;она купила себе новую модную сумочку известного итальянского бренда;женский аксессуар;сумочку
358;в нашем городе недавно открылся новый огромный торговый центр;комплекс магазинов;центр
359;он всегда носит с собой свой мощный рабочий ноут;портативный компьютер;ноут
360;на праздничном столе было выставлено много разных вкусняшек и напитков;сладости и угощения;вкусняшек
361;местные пацаны целыми днями играли в футбол на спортивной площадке во дворе;мальчишки;пацаны
362;я решил хорошенько пробежаться сегодня утром перед своей работой;легкая атлетика;пробежаться
363;мы собираемся ехать в солнечный Сочи на следующей неделе;популярный курортный город;Сочи
364;этот строгий препод очень требовательный на своих экзаменах по физике;университетский учитель;препод
365;я только что отправил важное текстовое сообщение своему непосредственному коллеге;электронное письмо;сообщение
366;она сама испекла очень вкусный шоколадный тортик на его день рождения;кондитерское изделие;тортик
367;мы уже давно планируем увлекательный поход в высокие горы этим летом;пешее путешествие;поход
368;он регулярно занимается активным спортом каждый день для поддержания здоровья;физическая культура;спортом
369;на письменном столе аккуратно лежали синие ручки и простые карандаши;канцелярские принадлежности;ручки, карандаши
370;в этом уютном ресторане превосходная традиционная европейская кухонька;гастрономическое направление;кухонька
371;он получил долгожданную зарплату и сразу пошел по своим любимым магазам;торговые заведения;магазам
372;моя верная мобила почти полностью разрядилась в самый неподходящий момент;сотовый телефон;мобила
373;мы быстро остановились в небольшом придорожном отельчике у самого синего моря;гостиница;отельчике
374;маленькие ребятишки увлеченно строили высокий замок из мокрого песка на пляже;малыши;ребятишки
375;за окном моей комнаты шел сильный проливной дождь с градом;полет на марс;
376;я предпочитаю пить только зеленый чай без добавления сахара;купить новый автомобиль;
377;она с интересом читала толстую книгу о древних египетских цивилизациях;играть на скрипке;
378;в тихом утреннем лесу красиво поют разные птицы и приятно шуршит листва;разработка веб приложений;
379;он уже третий день старательно ремонтирует свой старенький красный автомобиль;смотреть новости по телевизору;
380;моя любимая бабуля испекла нам вкусные пирожки с капустой и мясом;бабушка;бабуля
381;мы часто едем на переполненной электричке на нашу дачу под городом;пригородный электропоезд;электричке
382;он наконец-то купил себе новый мощный смарт последней модели;современный смартфон;смарт
383;моя младшая сестренка пошла в первый класс этой осенью;сестра;сестренка
384;я обожаю есть холодную мороженку в особенно жаркую летнюю погоду;замороженный десерт;мороженку
385;он уже много лет работает опытным водилой на большом грузовике;шофер;водилой
386;мы иногда ходим в нашу любимую кафешку просто чтобы выпить чашечку кофе;небольшое кафе;кафешку
387;в нашем областном городе есть довольно большой и престижный универ;высшее учебное заведение;универ
388;соседский лохматый песик всегда очень радостно нас встречает у ворот;маленькая собачка;песик
389;я кажется потерял свои теплые кожаные перчи где-то по дороге домой;перчатки;перчи
390;эта старинная книженция в кожаном переплете очень старая и довольно редкая;маленькая книга;книженция
391;он стал известный интернет блогер с почти миллионом активных подписчиков;создатель контента;блогер
392;на завтрак у меня сегодня был обычный бутер с сыром и вареной колбасой;бутерброд;бутер
393;мы всей семьей смотрели праздничный салют на день нашего любимого города;фейерверк;салют
394;она прилежно учится на будущего медика в столичном медицинском вузе;врача;медика
395;этот спальный райончик очень тихий спокойный и зеленый;небольшой район;райончик
396;я недавно скачал новую увлекательную игрушку на свой мобильный телефон;компьютерная игра;игрушку
397;он только что отправил мне смешную фотку со своего незабываемого отпуска;фотография;фотку
398;мы с трудом купили последние билеты в оперный театр на громкую премьеру;посещение спектакля;билеты
399;в нашем общем офисе недавно появился новый современный кофейный аппаратик;кофемашина;аппаратик
400;мама готовит вкусный ужин на кухне;прием пищи;ужин
401;новый смартфон обладает отличной камерой;мобильный телефон;смартфон
402;дети весело играли в парке на качелях;место для игр;парке
403;сегодня я посмотрел интересный фильм про космос;кинолента;фильм
404;он получил письмо от старого друга;послание;письмо
405;в магазине продаются свежие овощи и фрукты;зеленые продукты;овощи
406;погода сегодня замечательная для прогулки;атмосферные условия;погода
407;я собираюсь поехать в отпуск на море;зона отдыха;море
408;он быстро бежал чтобы успеть на поезд;транспортное средство;поезд
409;на столе стояла ваза с красивыми цветами;декоративные растения;цветами
410;мой кот любит спать на мягком диване;домашнее животное;кот
411;мы слушали музыку всю ночь напролет;звуковое искусство;музыку
412;строители возводят новый дом в центре города;жилое здание;дом
413;она купила красное платье для вечеринки;наряд;платье
414;ребенок нарисовал солнце и облака;дневное светило;солнце
415;я читаю увлекательную книгу перед сном;литературное произведение;книгу
416;он починил сломанный стул в гостиной;предмет мебели;стул
417;мы ели вкусный торт на дне рождения;сладкое угощение;торт
418;водитель аккуратно вел машину по дороге;автомобиль;машину
419;птицы пели свои утренние песни в саду;пернатые создания;птицы
420;профессор читал лекцию студентам в аудитории;учебное занятие;лекцию
421;на полке стояли старые фотографии в рамках;изображения;фотографии
422;спортсмен выиграл золотую медаль на соревнованиях;спортивная награда;медаль
423;девочка кормила уток на озере хлебом;водоплавающие птицы;уток
424;я выпил чашку горячего кофе утром;бодрящий напиток;кофе
425;художник нарисовал прекрасный пейзаж маслом;картина природы;пейзаж
426;в лесу мы собирали грибы и ягоды;лесные организмы;грибы
427;пожарные быстро потушили огонь в здании;сильное пламя;огонь
428;учитель объяснял новый материал ученикам;педагог;учитель
429;на ферме живут коровы куры и свиньи;молочные животные;коровы
430;он отправил важное сообщение по электронной почте;имейл;почте
431;зимой часто идет снег и бывает холодно;зимние осадки;снег
432;актер великолепно сыграл свою роль в спектакле;театральное представление;спектакле
433;бабушка испекла пирожки с капустой и картошкой;домашняя выпечка;пирожки
434;рыбак поймал большую рыбу в реке;речной обитатель;рыбу
435;компьютерная игра была очень захватывающей;видеоигра;игра
436;врач осмотрел пациента и назначил лечение;медицинский работник;врач
437;в зоопарке мы видели львов тигров и обезьян;дикие кошки;львов
438;садовник ухаживал за цветами в саду;работник сада;садовник
439;на небе сияли яркие звезды и луна;ночное светило;луна
440;я купил билеты на концерт любимой группы;музыкальное шоу;концерт
441;он написал интересную статью для журнала;печатная публикация;статью
442;дети строили замок из песка на пляже;песочное сооружение;замок
443;официант принес нам счет после ужина;работник ресторана;официант
444;по телевизору показывали новости о политике;информационная программа;новости
445;в библиотеке было много книг на разные темы;книгохранилище;библиотеке
446;она носит красивые сережки и ожерелье;ушные украшения;сережки
447;путешественники поднялись на высокую гору;горная вершина;гору
448;фермер собирал урожай пшеницы на поле;зерновая культура;пшеницы
449;музыкант играл на гитаре и пел песни;струнный инструмент;гитаре
450;в холодильнике есть молоко и яйца;сладкий десерт;
451;он любит кататься на велосипеде по парку;морское путешествие;
452;по радио передавали прогноз погоды;рецепт пирога;
453;сегодня отличный день для футбола;настольная игра;
454;я читаю новости в интернете каждое утро;художественная литература;
455;мой брат работает программистом в крупной компании;водитель автобуса;
456;на ужин у нас была жареная картошка с курицей;фруктовый салат;
457;она изучает иностранные языки в университете;строительство домов;
458;мы планируем поездку в горы на выходные;поход в театр;
459;в саду расцвели красные розы и белые лилии;овощные культуры;
460;я встретил своего однокашника в универе;высшее учебное заведение;универе
461;мы смотрели видосы на ютубе весь вечер;видеоролики;видосы
462;он купил новый телек с большим экраном;телевизионный приемник;телек
463;завтра едем на дачу сажать картоху;загородный дом;дачу
464;у меня сел мобильник в самый неподходящий момент;сотовый телефон;мобильник
